Word		Original_feature		Predicted_feature
oraCA		m		m
ka		m		UNK
vEBava		m		m
paWaro		m		m
meM		UNK		UNK
jaise		UNK		m
kExa		m		any
ho		m		any
gaila		m		m
ha		any		any
,		UNK		UNK
samaya		m		m
yahAz		UNK		UNK
TaharA		m		m
ha		m		any
lagawa		m		UNK
ha		any		any
aura		UNK		any
hama		any		any
calala		m		any
jAwa		m		any
hai		any		UNK
barasoM		m		m
barasa		m		any
pACe		m		m
,		UNK		UNK
maXyakAle		m		m
ka		m		UNK
eka		any		any
sahara		m		m
ma		UNK		any
.		UNK		UNK
jahAz		UNK		UNK
ka		m		UNK
maMxirana		m		m
aura		UNK		any
mahalana		m		m
ke		f		m
camaka		f		m
ke		UNK		m
samaya		m		m
ka		f		UNK
XuMXa		f		m
BI		UNK		UNK
XuzXalA		f		m
nA		UNK		UNK
sakawa		f		any
ha		any		any
.		UNK		UNK
16		any		any
se		UNK		UNK
17vIM		f		any
sawAbxI		f		m
meM		UNK		UNK
buMxelA		m		m
sAsakoM		m		m
xvArA		UNK		UNK
banavAila		f		any
gaIla		f		m
i		any		UNK
imArawana		f		m
prAcIna		any		any
vEBava		m		m
ka		UNK		UNK
bayAz		m		UNK
karawa		f		any
ha		any		any
.		UNK		UNK
oraCA		m		m
,		UNK		UNK
16vIM		f		UNK
sawAbxI		f		m
meM		UNK		UNK
buMxelA		m		m
rAjapUwa		m		any
ruxra		m		m
prawApa		m		m
ka		UNK		UNK
xvArA		UNK		UNK
basAila		m		m
gaila		m		m
rahala		m		m
.		UNK		UNK
unake		m		m
Age		m		m
ka		m		UNK
rAjana		m		m
sAnaxAra		any		m
imArawana		f		m
aura		UNK		any
Bavana		m		m
banavAike		any		m
ekara		f		any
sAna		f		m
meM		UNK		UNK
cAra		any		any
cAzxa		m		m
lagavA		any		m
xihalana		m		m
.		UNK		UNK
jinameM		any		any
rAjA		m		m
bIra		m		m
siMha		m		m
jUxeva		m		m
ka		m		UNK
nAma		m		m
pramuKa		any		any
ha		any		any
.		UNK		UNK
maMxirana		m		m
aura		UNK		any
mahalana		m		m
meM		UNK		UNK
buMxelA		m		m
kalA		f		m
ka		f		UNK
KUbasUrawa		any		any
kalAkArI		f		any
xeKawa		any		any
hI		UNK		UNK
banelA		f		m
.		UNK		UNK
lakRmInArAyaNa		m		m
maMxira		m		m
aura		UNK		any
rAjamahala		m		m
ka		f		UNK
xIvArana		f		m
aura		UNK		any
Cawana		f		m
ka		f		UNK
kalAwmakawA		f		m
ihAz		UNK		any
ka		f		UNK
samqxXi		f		m
ka		f		UNK
kahAnI		f		any
kahawa		f		UNK
ha		any		any
.		UNK		UNK
I		any		UNK
mahala		m		m
rAjA		m		m
bIra		m		m
siMha		m		m
jUxeva		m		m
ne		UNK		UNK
17vIM		f		m
SawAbxI		f		m
meM		UNK		UNK
jahAzgIra		m		m
ka		UNK		UNK
oraCA		m		m
Ave		any		m
ka		UNK		UNK
pahile		m		m
banavaile		m		m
rahalana		m		m
.		UNK		UNK
ekara		f		any
majabUwa		any		any
xIvArana		f		m
ka		UNK		UNK
sAWa		m		m
nAjukI		f		m
se		UNK		UNK
banala		f		m
Cawariyana		f		m
kamAla		m		m
ka		m		UNK
saMwulana		m		m
banAvawa		f		any
ha		any		any
aura		UNK		any
isase		any		any
pUrI		f		any
imArawa		f		m
awyaMwa		UNK		m
samqxXipUrNa		any		any
praBAva		m		m
xeve		f		m
le		any		m
.		UNK		UNK
cawurBuja		m		m
ka		m		UNK
AkAra		m		m
ka		m		UNK
i		any		UNK
mahala		m		m
17vIM		f		m
SawAbxI		f		m
meM		UNK		UNK
maXukara		m		any
SAha		m		m
banavaile		m		m
rahalana		m		m
.		UNK		UNK
nIxaralEMda		m		m
,		UNK		UNK
jeke		any		m
hOYlEMda		m		m
BI		UNK		UNK
kahala		m		m
jAlA		m		m
,		UNK		UNK
mOja		m		m
-		UNK		UNK
maswI		f		m
Aura		UNK		m
suMxara		any		m
najArA		m		UNK
vAlA		m		m
xeSa		m		m
ha		any		any
.		UNK		UNK
ihAM		UNK		any
ke		f		m
sabase		UNK		UNK
KAsa		any		any
bAwa		f		m
ihAM		UNK		any
ke		m		m
logoM		m		m
ka		m		UNK
sAikila		f		any
parema		m		m
ha		any		any
.		UNK		UNK
vEse		UNK		UNK
BI		UNK		UNK
i		any		UNK
xeSa		m		m
kAPI		UNK		UNK
CotA		m		m
ha		any		any
,		UNK		UNK
_NULL_		UNK		any
Ehikelie		UNK		UNK
xUriyAz		f		m
BI		UNK		UNK
kama		UNK		UNK
ha		any		any
.		UNK		UNK
Apa		any		any
pEMwisa		any		m
se		UNK		UNK
pEMwAlisa		any		m
kilomItara		m		m
ka		m		UNK
xAyarA		m		m
meM		UNK		UNK
ihAM		UNK		any
ka		f		UNK
rAjaXAnI		f		any
emstardama		m		m
ka		UNK		UNK
nihAra		m		m
sakawa		m		any
ha		any		any
.		UNK		UNK
Pira		UNK		UNK
ihAM		UNK		any
ka		f		UNK
Abo		f		any
-		UNK		UNK
havA		f		m
kA		m		m
kahanA		any		any
hI		UNK		UNK
kA		UNK		m
_NULL_		UNK		m
.		UNK		UNK
ihAM		UNK		any
