Word		Original_feature		Predicted_feature
oraCA		3		3
ka		UNK		UNK
vEBava		3		3
paWaro		3		3
meM		UNK		UNK
jaise		UNK		3
kExa		3		UNK
ho		3		3
gaila		any		3
ha		3		3
,		UNK		UNK
samaya		3		3
yahAz		UNK		UNK
TaharA		any		UNK
ha		any		UNK
lagawa		3		UNK
ha		3		UNK
aura		UNK		UNK
hama		1		1
calala		any		UNK
jAwa		any		3
hai		any		UNK
barasoM		3		3
barasa		3		UNK
pACe		3		any
,		UNK		UNK
maXyakAle		3		3
ka		UNK		UNK
eka		UNK		UNK
sahara		3		3
ma		UNK		3
.		UNK		UNK
jahAz		UNK		UNK
ka		UNK		UNK
maMxirana		3		3
aura		UNK		UNK
mahalana		3		3
ke		UNK		UNK
camaka		3		3
ke		UNK		UNK
samaya		3		3
ka		UNK		UNK
XuMXa		3		3
BI		UNK		UNK
XuzXalA		3		3
nA		UNK		UNK
sakawa		any		3
ha		3		3
.		UNK		UNK
16		3		UNK
se		UNK		UNK
17vIM		3		UNK
sawAbxI		3		3
meM		UNK		UNK
buMxelA		3		3
sAsakoM		3		3
xvArA		UNK		UNK
banavAila		any		3
gaIla		any		3
i		3		UNK
imArawana		3		3
prAcIna		UNK		UNK
vEBava		3		3
ka		UNK		UNK
bayAz		3		UNK
karawa		3		3
ha		3		3
.		UNK		UNK
oraCA		3		3
,		UNK		UNK
16vIM		3		UNK
sawAbxI		3		3
meM		UNK		UNK
buMxelA		3		3
rAjapUwa		3		3
ruxra		3		3
prawApa		3		3
ka		UNK		UNK
xvArA		UNK		UNK
basAila		any		3
gaila		any		3
rahala		any		any
.		UNK		UNK
unake		3h		3h
Age		3		3
ka		UNK		UNK
rAjana		3		3
sAnaxAra		UNK		3
imArawana		3		3
aura		UNK		UNK
Bavana		3		3
banavAike		any		3
ekara		3		UNK
sAna		3		3
meM		UNK		UNK
cAra		UNK		UNK
cAzxa		3		3
lagavA		any		3
xihalana		any		3
.		UNK		UNK
jinameM		3		3
rAjA		3		3
bIra		3		3
siMha		3		3
jUxeva		3		3
ka		UNK		UNK
nAma		3		3
pramuKa		UNK		3
ha		3		3
.		UNK		UNK
maMxirana		3		3
aura		UNK		UNK
mahalana		3		3
meM		UNK		UNK
buMxelA		3		3
kalA		3		3
ka		UNK		UNK
KUbasUrawa		UNK		UNK
kalAkArI		3		3
xeKawa		any		UNK
hI		UNK		UNK
banelA		3		any
.		UNK		UNK
lakRmInArAyaNa		3		3
maMxira		3		3
aura		UNK		UNK
rAjamahala		3		3
ka		UNK		UNK
xIvArana		3		3
aura		UNK		UNK
Cawana		3		3
ka		UNK		UNK
kalAwmakawA		3		3
ihAz		UNK		1
ka		UNK		UNK
samqxXi		3		3
ka		UNK		UNK
kahAnI		3		UNK
kahawa		3		UNK
ha		3		3
.		UNK		UNK
I		3		UNK
mahala		3		3
rAjA		3		3
bIra		3		3
siMha		3		3
jUxeva		3		3
ne		UNK		UNK
17vIM		3		UNK
SawAbxI		3		3
meM		UNK		UNK
jahAzgIra		3		3
ka		UNK		UNK
oraCA		3		3
Ave		3		any
ka		UNK		UNK
pahile		3		3
banavaile		any		3
rahalana		any		3
.		UNK		UNK
ekara		3		3
majabUwa		UNK		UNK
xIvArana		3		3
ka		UNK		UNK
sAWa		3		3
nAjukI		3		3
se		UNK		UNK
banala		any		3
Cawariyana		3		3
kamAla		3		3
ka		UNK		UNK
saMwulana		3		3
banAvawa		3		3
ha		3		UNK
aura		UNK		UNK
isase		3		3
pUrI		UNK		UNK
imArawa		3		3
awyaMwa		UNK		3
samqxXipUrNa		UNK		UNK
praBAva		3		3
xeve		3		3
le		3		any
.		UNK		UNK
cawurBuja		3		3
ka		UNK		UNK
AkAra		3		3
ka		UNK		UNK
i		3		UNK
mahala		3		3
17vIM		3		3
SawAbxI		3		3
meM		UNK		UNK
maXukara		3		any
SAha		3		3
banavaile		any		3
rahalana		any		3
.		UNK		UNK
nIxaralEMda		3		3
,		UNK		UNK
jeke		3		3
hOYlEMda		3		3
BI		UNK		UNK
kahala		3		3
jAlA		any		any
,		UNK		UNK
mOja		3		3
-		UNK		UNK
maswI		3		3
Aura		UNK		3
suMxara		UNK		3
najArA		3		UNK
vAlA		UNK		UNK
xeSa		3		3
ha		3		3
.		UNK		UNK
ihAM		UNK		3
ke		UNK		UNK
sabase		UNK		UNK
KAsa		UNK		UNK
bAwa		3		3
ihAM		UNK		3
ke		UNK		UNK
logoM		3		3
ka		UNK		UNK
sAikila		3		3
parema		3		3
ha		3		3
.		UNK		UNK
vEse		UNK		UNK
BI		UNK		UNK
i		3		UNK
xeSa		3		3
kAPI		UNK		UNK
CotA		UNK		3
ha		3		3
,		UNK		UNK
