Word		Original_feature		Predicted_feature
oraCA		o		o
ka		d		UNK
vEBava		d		o
paWaro		o		o
meM		UNK		UNK
jaise		UNK		o
kExa		d		UNK
ho		UNK		UNK
gaila		UNK		d
ha		UNK		d
,		UNK		UNK
samaya		d		d
yahAz		d		d
TaharA		UNK		UNK
ha		UNK		d
lagawa		UNK		UNK
ha		UNK		d
aura		UNK		d
hama		d		d
calala		UNK		UNK
jAwa		UNK		d
hai		UNK		UNK
barasoM		d		o
barasa		d		d
pACe		d		UNK
,		UNK		UNK
maXyakAle		o		o
ka		o		UNK
eka		any		any
sahara		o		d
ma		UNK		d
.		UNK		UNK
jahAz		o		o
ka		o		UNK
maMxirana		o		d
aura		UNK		d
mahalana		o		o
ke		o		o
camaka		o		o
ke		UNK		o
samaya		o		o
ka		d		UNK
XuMXa		d		d
BI		UNK		UNK
XuzXalA		UNK		o
nA		UNK		UNK
sakawa		UNK		UNK
ha		UNK		UNK
.		UNK		UNK
16		o		o
se		UNK		UNK
17vIM		d		d
sawAbxI		o		o
meM		UNK		UNK
buMxelA		d		d
sAsakoM		o		o
xvArA		UNK		UNK
banavAila		UNK		d
gaIla		UNK		d
i		d		UNK
imArawana		d		d
prAcIna		o		o
vEBava		o		o
ka		UNK		UNK
bayAz		d		d
karawa		UNK		UNK
ha		UNK		UNK
.		UNK		UNK
oraCA		d		d
,		UNK		UNK
16vIM		d		d
sawAbxI		o		o
meM		UNK		UNK
buMxelA		d		d
rAjapUwa		d		d
ruxra		d		d
prawApa		o		o
ka		UNK		UNK
xvArA		UNK		UNK
basAila		UNK		d
gaila		UNK		d
rahala		UNK		UNK
.		UNK		UNK
unake		o		o
Age		o		d
ka		o		UNK
rAjana		o		d
sAnaxAra		d		d
imArawana		d		d
aura		UNK		d
Bavana		d		d
banavAike		UNK		o
ekara		o		d
sAna		o		o
meM		UNK		UNK
cAra		any		any
cAzxa		d		d
lagavA		UNK		d
xihalana		UNK		o
.		UNK		UNK
jinameM		o		o
rAjA		d		d
bIra		d		d
siMha		d		d
jUxeva		o		o
ka		d		UNK
nAma		d		d
pramuKa		UNK		d
ha		UNK		UNK
.		UNK		UNK
maMxirana		o		d
aura		UNK		o
mahalana		o		o
meM		UNK		UNK
buMxelA		d		d
kalA		o		o
ka		d		UNK
KUbasUrawa		d		o
kalAkArI		d		d
xeKawa		UNK		d
hI		UNK		UNK
banelA		UNK		UNK
.		UNK		UNK
lakRmInArAyaNa		d		d
maMxira		o		d
aura		UNK		d
rAjamahala		o		o
ka		d		UNK
xIvArana		d		d
aura		UNK		d
Cawana		o		o
ka		d		UNK
kalAwmakawA		d		d
ihAz		o		o
ka		o		UNK
samqxXi		o		o
ka		d		UNK
kahAnI		d		d
kahawa		UNK		UNK
ha		UNK		UNK
.		UNK		UNK
I		d		d
mahala		d		d
rAjA		d		d
bIra		d		d
siMha		d		d
jUxeva		o		o
ne		UNK		UNK
17vIM		d		o
SawAbxI		o		o
meM		UNK		UNK
jahAzgIra		o		o
ka		UNK		UNK
oraCA		d		d
Ave		o		o
ka		UNK		UNK
pahile		d		d
banavaile		UNK		d
rahalana		UNK		d
.		UNK		UNK
ekara		o		d
majabUwa		o		o
xIvArana		o		o
ka		UNK		UNK
sAWa		d		d
nAjukI		o		o
se		UNK		UNK
banala		UNK		d
Cawariyana		d		d
kamAla		o		o
ka		d		UNK
saMwulana		d		d
banAvawa		UNK		d
ha		UNK		d
aura		UNK		d
isase		o		o
pUrI		d		o
imArawa		d		d
awyaMwa		UNK		d
samqxXipUrNa		d		o
praBAva		d		d
xeve		UNK		UNK
le		UNK		UNK
.		UNK		UNK
cawurBuja		o		o
ka		o		UNK
AkAra		o		o
ka		d		UNK
i		d		UNK
mahala		d		d
17vIM		d		d
SawAbxI		o		o
meM		UNK		UNK
maXukara		d		UNK
SAha		o		d
banavaile		UNK		d
rahalana		UNK		UNK
.		UNK		UNK
nIxaralEMda		d		o
,		UNK		UNK
jeke		o		UNK
hOYlEMda		d		d
BI		UNK		UNK
kahala		UNK		d
jAlA		UNK		UNK
,		UNK		UNK
mOja		d		d
-		UNK		UNK
maswI		o		o
Aura		UNK		d
suMxara		o		d
najArA		o		UNK
