Word		Original_feature		Predicted_feature
oraCA		0		0
ka		UNK		UNK
vEBava		0		0
paWaro		0		0
meM		UNK		UNK
jaise		UNK		ko
kExa		0		UNK
ho		0		0
gaila		yA1		0
ha		hE		0
,		UNK		UNK
samaya		0		0
yahAz		UNK		UNK
TaharA		yA		UNK
ha		yA		0
lagawa		wA		UNK
ha		hE		UNK
aura		UNK		UNK
hama		0		0
calala		yA		0
jAwa		wA		0
hai		hE		UNK
barasoM		0		0
barasa		0		UNK
pACe		UNK		yA
,		UNK		UNK
maXyakAle		0		0
ka		UNK		UNK
eka		UNK		UNK
sahara		0		0
ma		UNK		0
.		UNK		UNK
jahAz		UNK		UNK
ka		UNK		UNK
maMxirana		0		0
aura		UNK		UNK
mahalana		0		0
ke		UNK		UNK
camaka		0		0
ke		UNK		UNK
samaya		0		UNK
ka		UNK		UNK
XuMXa		0		0
BI		UNK		UNK
XuzXalA		yA		0
nA		UNK		UNK
sakawa		yA		UNK
ha		hE		0
.		UNK		UNK
16		0		UNK
se		UNK		UNK
17vIM		0		UNK
sawAbxI		0		0
meM		UNK		UNK
buMxelA		0		0
sAsakoM		0		0
xvArA		UNK		UNK
banavAila		yA		0
gaIla		yA1		0
i		UNK		UNK
imArawana		0		0
prAcIna		UNK		UNK
vEBava		0		0
ka		UNK		UNK
bayAz		0		0
karawa		wA		0
ha		hE		0
.		UNK		UNK
oraCA		0		0
,		UNK		UNK
16vIM		0		UNK
sawAbxI		0		0
meM		UNK		UNK
buMxelA		0		0
rAjapUwa		0		0
ruxra		0		0
prawApa		0		0
ka		UNK		UNK
xvArA		UNK		UNK
basAila		yA		0
gaila		yA1		0
rahala		WA		0
.		UNK		UNK
unake		ke		kA
Age		UNK		UNK
ka		UNK		UNK
rAjana		0		0
sAnaxAra		UNK		0
imArawana		0		0
aura		UNK		UNK
Bavana		0		0
banavAike		kara		0
ekara		kA		0
sAna		0		0
meM		UNK		UNK
cAra		UNK		UNK
cAzxa		0		0
lagavA		0		0
xihalana		yA		0
.		UNK		UNK
jinameM		meM		meM
rAjA		0		0
bIra		0		0
siMha		0		0
jUxeva		0		0
ka		UNK		UNK
nAma		0		0
pramuKa		UNK		0
ha		hE		0
.		UNK		UNK
maMxirana		0		0
aura		UNK		UNK
mahalana		0		0
meM		UNK		UNK
buMxelA		0		0
kalA		0		0
ka		UNK		UNK
KUbasUrawa		UNK		UNK
kalAkArI		0		0
xeKawa		wA		UNK
hI		UNK		UNK
banelA		wA		yA
.		UNK		UNK
lakRmInArAyaNa		0		0
maMxira		0		0
aura		UNK		UNK
rAjamahala		0		0
ka		UNK		UNK
xIvArana		0		0
aura		UNK		0
Cawana		0		0
ka		UNK		UNK
kalAwmakawA		0		0
ihAz		UNK		hE
ka		UNK		UNK
samqxXi		0		0
ka		UNK		UNK
kahAnI		0		nA
kahawa		wA		UNK
ha		hE		0
.		UNK		UNK
I		UNK		UNK
mahala		0		0
rAjA		0		0
bIra		0		0
siMha		0		0
jUxeva		0		0
ne		UNK		UNK
17vIM		0		UNK
SawAbxI		0		0
meM		UNK		UNK
jahAzgIra		0		0
ka		UNK		UNK
oraCA		0		0
Ave		nA		0
ka		UNK		UNK
pahile		UNK		UNK
banavaile		yA		0
rahalana		WA		0
.		UNK		UNK
ekara		kA		0
majabUwa		UNK		UNK
xIvArana		0		0
ka		UNK		UNK
sAWa		UNK		UNK
nAjukI		0		0
se		UNK		UNK
banala		yA		0
Cawariyana		0		0
kamAla		0		0
ka		UNK		UNK
saMwulana		0		0
banAvawa		wA		0
ha		hE		UNK
aura		UNK		UNK
isase		se		se
pUrI		UNK		UNK
imArawa		0		0
awyaMwa		UNK		0
