Word		Original_feature		Predicted_feature
oraCA		n		n
ka		psp		avy
vEBava		n		n
paWaro		n		n
meM		psp		psp
jaise		avy		pn
kExa		n		adj
ho		v		v
gaila		v		n
ha		v		n
,		punc		punc
samaya		n		n
yahAz		pn		pn
TaharA		v		adj
ha		v		pn
lagawa		v		avy
ha		v		num
aura		avy		n
hama		pn		pn
calala		v		n
jAwa		v		n
hai		v		avy
barasoM		n		n
barasa		n		n
pACe		nst		v
,		punc		punc
maXyakAle		n		n
ka		psp		avy
eka		num		num
sahara		n		n
ma		psp		pn
.		punc		punc
jahAz		pn		pn
ka		psp		avy
maMxirana		n		n
aura		avy		n
mahalana		n		n
ke		psp		psp
camaka		n		n
ke		psp		psp
samaya		n		n
ka		psp		avy
XuMXa		n		n
BI		avy		avy
XuzXalA		v		n
nA		avy		avy
sakawa		v		n
ha		v		v
.		punc		punc
16		n		n
se		psp		psp
17vIM		n		n
sawAbxI		n		n
meM		psp		psp
buMxelA		n		n
sAsakoM		n		n
xvArA		psp		psp
banavAila		v		n
gaIla		v		n
i		pn		punc
imArawana		n		n
prAcIna		adj		adj
vEBava		n		n
ka		psp		avy
bayAz		n		n
karawa		v		n
ha		v		v
.		punc		punc
oraCA		n		n
,		punc		punc
16vIM		n		n
sawAbxI		n		n
meM		psp		psp
buMxelA		n		n
rAjapUwa		n		n
ruxra		n		n
prawApa		n		n
ka		psp		avy
xvArA		psp		psp
basAila		v		n
gaila		v		n
rahala		v		v
.		punc		punc
unake		pn		pn
Age		nst		nst
ka		psp		avy
rAjana		n		n
sAnaxAra		adj		n
imArawana		n		n
aura		avy		n
Bavana		n		n
banavAike		v		n
ekara		pn		n
sAna		n		n
meM		psp		psp
cAra		num		num
cAzxa		n		n
lagavA		v		n
xihalana		v		n
.		punc		punc
jinameM		pn		pn
rAjA		n		n
bIra		n		n
siMha		n		n
jUxeva		n		n
ka		psp		avy
nAma		n		n
pramuKa		adj		n
ha		v		v
.		punc		punc
maMxirana		n		n
aura		avy		n
mahalana		n		n
meM		psp		psp
buMxelA		n		n
kalA		n		n
